p;WITEL;STO;-;ODP_LOCATION_NAME;JANGAN;JANGAN;JANGAN;QR CODE ODP
REGIONAL 5 JAWA TIMUR;JATIM TENGAH TIMUR  (SIDOARJO);SPJ;;ODP-SPJ-FBA/46;;;;T7D0IGWDBTJP
REGIONAL 5 JAWA TIMUR;JATIM TENGAH TIMUR  (SIDOARJO);SPJ;;ODP-SPJ-FBA/18;;;;T7D0C4PMY0M6
REGIONAL 5 JAWA TIMUR;JATIM TENGAH TIMUR  (SIDOARJO);SPJ;;ODP-SPJ-FBA/25;;;;T7D0IGSTQ1D9
REGIONAL 5 JAWA TIMUR;JATIM TENGAH TIMUR  (SIDOARJO);SPJ;;ODP-SPJ-FBA/08;;;;T7D0F04EFTLF
REGIONAL 5 JAWA TIMUR;JATIM TENGAH TIMUR  (SIDOARJO);SDA;;ODP-SDA-FDL/17;;;;T7D0FVCM8WE9
REGIONAL 5 JAWA TIMUR;JATIM TENGAH TIMUR  (SIDOARJO);SDA;;ODP-SDA-FDR/10;;;;T7D0B4S9NU96
REGIONAL 5 JAWA TIMUR;JATIM TENGAH TIMUR  (SIDOARJO);SDA;;ODP-SDA-FDR/06;;;;T7D0V8E309RI
REGIONAL 5 JAWA TIMUR;JATIM TENGAH TIMUR  (SIDOARJO);SDA;;ODP-SDA-FDL/22;;;;T7D06J5Z9DLS
REGIONAL 5 JAWA TIMUR;JATIM TENGAH TIMUR  (SIDOARJO);TUN;;ODP-TUN-FM/01;;;;T7D0QLO06XAZ
REGIONAL 5 JAWA TIMUR;JATIM TENGAH TIMUR  (SIDOARJO);TUN;;ODP-TUN-FM/02;;;;T7D0JZXTB04F
REGIONAL 5 JAWA TIMUR;JATIM TENGAH TIMUR  (SIDOARJO);TUN;;ODP-TUN-FM/03;;;;T7D05QPDAC1L
REGIONAL 5 JAWA TIMUR;JATIM TENGAH TIMUR  (SIDOARJO);TUN;;ODP-TUN-FM/04;;;;T7D0TAO7G4MO
REGIONAL 5 JAWA TIMUR;JATIM TENGAH TIMUR  (SIDOARJO);TUN;;ODP-TUN-FAE/01;;;;T7D0660MF9BA
REGIONAL 5 JAWA TIMUR;JATIM TENGAH TIMUR  (SIDOARJO);TUN;;ODP-TUN-FAE/02;;;;T7D0IDHUGANH
REGIONAL 5 JAWA TIMUR;JATIM TENGAH TIMUR  (SIDOARJO);TUN;;ODP-TUN-FAE/03;;;;T7D06TEB3658
REGIONAL 5 JAWA TIMUR;JATIM TENGAH TIMUR  (SIDOARJO);TUN;;ODP-TUN-FAE/04;;;;T7D08JL1LWL0
REGIONAL 5 JAWA TIMUR;JATIM TENGAH TIMUR  (SIDOARJO);TUN;;ODP-TUN-FM/05;;;;T7D036I3D1CN
REGIONAL 5 JAWA TIMUR;JATIM TENGAH TIMUR  (SIDOARJO);TUN;;ODP-TUN-FM/06;;;;T7D0ICBD936S
REGIONAL 5 JAWA TIMUR;JATIM TENGAH TIMUR  (SIDOARJO);SDA;;ODP-SDA-FAA/02;;;;T7D0YKK0IFBX
REGIONAL 5 JAWA TIMUR;JATIM TENGAH TIMUR  (SIDOARJO);SDA;;ODP-SDA-FAA/15;;;;T7D02CVUGJ0R
REGIONAL 5 JAWA TIMUR;JATIM TENGAH TIMUR  (SIDOARJO);SDA;;ODP-SDA-FAA/14;;;;T7D0S0FWIIAN
REGIONAL 5 JAWA TIMUR;JATIM TENGAH TIMUR  (SIDOARJO);SDA;;ODP-SDA-FAA/13;;;;T7D0KJXXHGP4
REGIONAL 5 JAWA TIMUR;JATIM TENGAH TIMUR  (SIDOARJO);SPJ;;ODP-SPJ-FU/14;;;;T7D0L19FWF67
REGIONAL 5 JAWA TIMUR;JATIM TENGAH TIMUR  (SIDOARJO);GDA;;ODP-GDA-FD/01;;;;T7D09QJKXG2K
REGIONAL 5 JAWA TIMUR;JATIM TENGAH TIMUR  (SIDOARJO);GDA;;ODP-GDA-FD/02;;;;T7D0RILEIJWH
REGIONAL 5 JAWA TIMUR;JATIM TENGAH TIMUR  (SIDOARJO);GDN;;ODP-GDN-FD/03;;;;T7D04WIRRCHR
REGIONAL 5 JAWA TIMUR;JATIM TENGAH TIMUR  (SIDOARJO);GDN;;ODP-GDN-FD/09;;;;T7D0K1Z1CDGJ
